N,P,K,temperature,humidity,ph,rainfall,season_length,altitude,label
32.71,48.68,18.07,18.91,30.03,7.6,482.13,127.76,464.56,chickpea
45.23,7.35,73.46,18.84,42.98,6.84,758.96,202.15,361.23,olive
48.89,28.0,73.08,23.02,38.95,7.51,442.43,259.73,666.72,almond
99.49,46.81,61.29,23.24,78.53,5.87,1377.5,138.41,0.0,rice
145.93,30.71,109.63,19.99,65.67,6.73,787.72,172.79,87.17,maize
112.97,74.48,174.08,25.06,73.79,5.84,1760.66,291.52,43.53,banana
39.78,14.54,38.91,22.01,30.3,7.99,404.81,249.16,559.28,almond
79.27,39.9,52.94,12.11,49.17,6.43,652.88,120.55,507.21,wheat
23.2,48.49,82.17,14.55,44.97,7.74,411.09,89.69,406.72,lentil
26.71,54.22,42.43,21.59,39.12,8.69,414.3,150.62,494.29,chickpea
137.25,42.6,57.15,17.62,72.29,6.18,910.85,114.97,262.83,maize
115.6,49.77,36.17,28.41,66.91,5.78,669.15,164.56,52.96,maize
92.04,70.42,205.53,21.34,81.81,5.23,1613.3,318.0,7.84,banana
29.37,72.47,20.87,18.37,52.17,7.04,467.31,135.85,452.75,chickpea
102.72,43.38,17.7,27.36,72.01,6.33,1367.2,122.17,65.58,rice
96.86,79.16,208.15,30.07,77.68,5.54,1544.78,354.61,77.12,banana
27.0,45.48,72.95,20.55,43.91,7.85,274.82,152.97,549.0,chickpea
100.21,30.4,92.48,23.78,72.78,7.03,941.8,263.14,80.85,citrus
127.19,52.73,96.95,23.87,66.32,6.29,767.7,140.72,319.4,maize
121.18,42.64,45.38,32.58,75.25,6.65,1382.71,156.36,0.0,rice
105.77,56.27,60.76,28.02,54.0,6.56,702.75,213.04,23.12,cotton
30.76,59.36,14.52,14.12,43.14,7.3,656.42,154.04,701.24,chickpea
37.15,35.37,23.97,14.5,53.23,7.03,439.64,99.12,368.51,lentil
133.62,76.48,117.66,32.61,97.21,6.11,1617.1,300.47,120.13,sugarcane
20.11,48.21,84.51,16.82,56.44,6.75,372.1,105.88,516.25,lentil
120.35,43.59,102.03,20.58,57.37,6.22,684.92,190.06,32.23,cotton
88.95,41.47,35.83,26.05,87.86,6.67,1647.43,127.01,16.32,rice
95.13,55.15,110.18,26.55,48.44,6.04,886.03,176.68,149.94,cotton
23.41,11.27,45.39,14.03,66.85,7.75,481.47,212.26,528.55,olive
135.06,79.74,123.47,29.77,79.86,5.94,1444.19,339.38,0.0,sugarcane
15.37,63.81,40.63,17.92,52.49,7.84,365.29,107.0,627.42,chickpea
27.66,21.93,53.35,26.27,46.36,6.45,242.51,217.03,335.09,fig
19.8,65.61,25.15,21.52,52.21,6.87,256.16,129.63,576.63,chickpea
84.79,43.42,63.49,13.79,56.21,6.85,408.33,139.53,282.15,wheat
73.77,39.59,104.12,31.69,65.93,5.27,1164.91,193.97,305.52,mango
39.29,28.33,36.55,19.96,53.53,7.27,611.38,255.81,407.8,olive
158.89,75.75,135.03,25.92,80.72,7.25,1580.48,316.41,0.0,sugarcane
30.48,17.61,58.35,19.67,54.4,7.19,437.27,184.33,474.59,olive
39.71,13.16,10.92,10.5,57.57,8.62,503.32,204.38,305.98,olive
116.36,45.03,119.62,27.81,69.41,6.42,719.31,151.76,25.09,tomato
34.04,36.4,108.13,16.3,52.13,6.31,616.47,163.87,50.19,grape
36.72,17.43,51.77,21.51,63.78,7.48,551.05,208.69,464.37,fig
26.54,21.85,38.93,18.95,41.18,7.58,385.49,217.36,490.71,fig
115.94,61.31,120.39,23.21,58.01,5.39,634.54,120.63,179.11,maize
51.37,28.2,94.82,18.01,31.55,7.73,444.16,207.03,596.59,almond
83.2,45.54,98.97,28.37,61.1,5.96,820.89,76.53,231.43,maize
63.62,32.31,106.79,20.54,56.42,7.05,738.95,200.24,251.47,grape
29.71,43.66,53.23,17.44,34.68,7.42,388.99,123.24,398.17,chickpea
120.66,58.66,100.85,27.45,75.35,6.79,697.78,127.91,0.0,maize
20.07,55.38,46.21,10.46,54.88,6.92,259.93,153.58,548.23,lentil
105.75,44.44,103.06,24.52,58.44,5.47,932.04,141.11,290.74,maize
73.89,21.84,104.21,16.44,66.23,5.12,621.86,261.57,24.12,grape
135.6,62.42,101.55,31.29,74.51,6.93,1420.43,337.43,0.0,sugarcane
14.35,57.27,80.75,21.55,33.29,6.97,478.97,130.24,463.54,chickpea
34.83,34.61,80.87,16.86,46.76,6.28,717.58,150.43,270.9,wheat
87.44,47.69,82.64,25.07,64.0,6.72,957.21,300.79,219.75,citrus
106.54,67.44,44.46,23.03,81.34,6.06,1344.53,165.89,0.0,rice
139.74,39.1,89.64,27.34,47.25,6.49,852.5,192.92,0.0,cotton
161.2,54.37,116.79,30.21,69.16,5.9,1579.62,302.33,0.0,sugarcane
143.41,66.39,58.42,26.76,73.45,5.72,689.73,169.9,39.2,maize
98.49,72.14,196.48,25.95,78.17,5.49,1588.16,288.09,120.26,banana
52.61,28.82,128.91,16.23,55.53,6.18,777.56,151.61,247.92,grape
36.71,59.8,154.54,24.37,51.57,5.79,499.24,149.29,447.64,grape
74.41,34.27,103.38,21.07,70.42,5.79,783.1,335.41,63.11,citrus
64.12,27.63,105.18,22.54,64.8,5.49,813.11,261.53,278.15,citrus
31.71,20.93,114.3,18.27,55.2,6.73,655.93,149.12,295.31,grape
70.4,38.68,74.79,16.31,61.94,6.65,755.61,97.46,387.12,wheat
46.62,17.44,59.38,23.31,44.9,8.61,440.24,303.57,406.88,olive
42.56,32.83,118.58,15.74,61.08,6.14,604.2,162.96,202.64,grape
33.66,5.03,70.17,23.77,57.44,7.33,588.21,253.65,248.85,olive
124.66,53.54,33.3,23.61,52.45,6.24,709.6,76.2,34.74,maize
96.21,40.11,113.08,27.52,60.52,5.37,813.55,180.09,189.35,mango
115.65,53.4,45.23,24.42,86.09,5.89,1428.61,132.63,0.0,rice
34.01,21.23,67.22,18.69,56.01,8.26,664.85,232.64,428.01,olive
132.84,77.0,132.11,29.53,60.19,6.34,649.9,207.67,147.84,cotton
93.18,75.27,154.68,29.38,81.72,6.37,1557.66,286.87,26.78,banana
120.89,63.84,81.38,31.41,50.57,7.39,610.34,186.41,76.09,cotton
142.31,33.74,88.04,27.75,76.64,7.15,1335.37,365.0,45.86,sugarcane
43.3,55.77,98.07,29.07,57.61,4.83,858.06,167.92,108.17,mango
68.13,27.09,119.93,23.55,53.26,5.93,891.72,136.87,275.07,mango
85.16,24.08,44.92,26.59,58.31,6.2,1074.11,299.99,189.41,citrus
114.12,65.34,71.51,31.82,74.47,5.92,1579.86,290.17,0.0,sugarcane
98.83,43.03,55.7,18.25,64.8,6.67,812.51,282.23,73.58,citrus
17.25,21.07,67.42,20.4,37.75,7.26,404.56,231.19,303.36,olive
114.39,63.24,83.68,25.57,77.88,6.28,1489.88,134.9,79.77,rice
18.58,44.87,86.0,12.21,47.22,7.83,228.52,139.75,580.51,lentil
57.47,33.2,91.59,9.95,37.08,8.38,410.94,166.8,542.23,almond
118.89,75.11,153.24,25.13,50.78,6.1,593.11,190.67,111.13,tomato
132.14,46.64,105.34,31.67,57.9,6.68,829.28,162.77,110.46,cotton
93.23,87.86,169.43,27.61,82.39,6.23,1661.05,278.45,0.0,banana
46.56,29.65,76.93,17.09,66.56,7.7,359.06,229.08,281.31,olive
73.18,41.69,56.87,21.59,61.6,6.68,706.54,266.44,200.51,citrus
74.24,61.19,54.46,27.16,96.16,6.54,1457.84,159.04,31.68,rice
16.67,6.21,62.37,20.81,43.7,7.32,481.93,259.83,467.16,olive
35.81,54.29,16.89,15.01,47.31,7.5,370.18,105.0,512.46,chickpea
86.9,27.94,87.6,26.48,73.15,7.32,928.0,243.4,178.2,citrus
102.36,68.48,217.9,27.39,80.81,4.94,1667.41,224.63,0.0,banana
79.01,37.95,83.6,32.73,48.72,5.28,978.74,185.52,42.24,mango
95.52,37.35,47.64,17.86,43.4,6.55,663.75,192.54,444.24,wheat
150.36,44.42,97.24,29.13,77.7,5.75,1598.42,326.77,24.01,sugarcane
48.05,20.21,59.43,16.84,40.31,7.85,560.87,242.04,353.5,fig
36.83,25.42,37.31,18.97,57.35,7.86,456.54,251.4,250.47,olive
106.19,59.61,200.84,26.86,81.63,5.89,1634.83,264.28,66.37,banana
111.27,27.86,67.19,29.33,87.43,6.28,1565.74,125.73,0.0,rice
34.41,14.81,67.61,18.51,55.89,9.15,664.7,189.79,328.59,olive
117.89,40.71,38.06,23.76,90.43,6.61,1641.72,131.82,53.91,rice
38.97,52.35,73.16,9.68,39.55,7.71,218.66,135.48,461.37,lentil
50.34,21.06,96.11,12.61,70.04,6.99,562.69,168.46,338.25,grape
107.6,42.25,73.14,28.58,62.69,5.62,764.19,76.87,105.96,maize
53.23,29.02,131.16,22.49,56.87,6.78,677.7,171.7,211.28,grape
37.14,28.64,113.88,18.29,59.86,6.81,670.24,148.44,248.73,grape
53.38,31.76,117.98,15.59,40.43,5.83,719.17,206.13,336.76,grape
48.71,38.88,107.36,21.11,52.54,6.74,598.54,185.89,296.89,grape
91.18,39.04,58.99,23.22,61.11,6.25,758.93,242.07,167.67,citrus
34.2,34.86,64.95,21.35,44.22,7.05,373.87,267.54,425.51,almond
80.87,30.28,98.72,30.95,47.26,4.28,1014.88,150.02,238.23,mango
57.02,4.52,67.39,22.18,40.81,7.36,548.24,205.54,332.69,fig
125.16,44.1,137.49,32.41,67.48,7.27,1539.41,359.84,95.71,sugarcane
43.57,74.38,48.91,16.81,41.52,6.35,481.96,64.95,549.99,chickpea
62.79,59.71,100.96,31.78,48.77,6.68,891.24,145.97,265.34,mango
115.28,50.21,59.59,26.56,56.32,6.25,946.69,113.14,202.4,maize
25.67,54.22,110.03,9.42,55.13,6.91,501.4,105.38,527.53,lentil
30.88,35.07,68.18,21.86,34.14,6.46,502.93,147.91,526.77,wheat
130.71,49.17,101.82,31.26,56.11,5.97,670.94,149.96,111.45,cotton
80.18,42.67,95.8,32.24,49.89,4.75,1072.72,147.56,188.42,mango
36.3,6.49,3.27,21.48,51.78,5.67,406.75,263.39,573.28,fig
93.12,85.27,196.31,31.02,72.93,6.53,1671.91,300.83,120.85,banana
17.15,57.72,76.75,17.15,46.29,7.62,255.18,117.0,509.77,lentil
122.88,42.79,66.13,23.82,65.55,5.03,673.56,111.69,203.58,maize
138.12,50.87,183.98,15.5,59.75,6.16,702.91,100.39,19.0,tomato
27.84,0.0,44.94,20.81,53.57,7.47,338.67,248.24,216.36,olive
30.07,31.04,75.92,19.69,36.41,7.27,561.54,74.74,555.21,chickpea
100.59,46.43,69.34,31.58,59.97,6.47,615.45,186.97,0.0,cotton
95.7,73.07,213.76,24.27,63.19,6.13,1579.27,281.59,155.73,banana
34.43,12.83,25.07,20.7,44.12,7.01,262.45,240.98,437.12,fig
38.57,57.17,47.53,13.39,49.52,7.48,530.87,142.61,537.05,chickpea
15.92,33.0,41.97,10.22,35.63,7.11,461.59,289.01,600.35,almond
41.09,12.46,56.72,17.0,42.28,7.82,194.48,208.48,374.46,almond
53.39,23.76,54.73,19.11,43.42,7.45,251.08,246.7,421.29,almond
127.31,58.91,126.61,23.99,78.91,6.33,1613.42,309.96,0.0,sugarcane
117.66,50.96,30.83,25.01,72.09,6.37,911.16,133.71,197.34,maize
16.65,52.23,78.21,13.11,44.42,6.55,386.51,118.64,583.96,lentil
72.93,33.17,84.96,13.19,64.77,6.9,556.22,189.25,294.0,wheat
111.8,72.15,175.44,25.72,80.15,5.56,1654.36,332.26,0.0,banana
101.27,76.94,195.51,26.66,76.69,5.81,1621.3,296.42,176.02,banana
135.16,38.12,187.23,22.65,60.27,6.77,619.87,131.54,30.08,tomato
21.24,50.01,90.53,14.44,52.39,7.87,446.48,108.24,563.86,lentil
107.0,78.31,37.31,22.71,59.13,5.33,951.7,104.83,0.0,maize
134.2,89.95,171.75,25.64,84.63,6.53,1694.97,281.82,180.15,banana
110.82,64.51,73.62,28.81,76.75,6.33,1482.39,119.46,29.01,rice
66.0,46.16,99.53,17.94,60.94,6.83,645.44,230.6,292.09,grape
44.64,17.45,36.86,16.81,49.45,7.19,614.0,211.09,426.04,olive
31.26,42.26,58.5,15.07,64.54,6.77,289.3,127.41,457.34,lentil
129.67,43.92,121.52,28.11,73.92,6.13,718.2,145.74,48.44,tomato
124.49,46.22,146.18,23.64,78.87,5.77,700.91,140.35,0.0,tomato
12.46,39.86,89.5,14.41,51.96,7.01,527.3,104.37,704.1,lentil
50.66,12.08,65.07,16.33,55.8,6.85,457.32,228.29,341.31,olive
83.47,78.65,178.07,30.47,67.03,6.33,1599.4,301.34,0.0,banana
128.94,73.46,98.9,23.45,47.36,6.38,589.0,137.52,1.98,cotton
117.79,56.87,173.09,23.91,76.43,5.29,700.47,90.51,49.79,tomato
67.07,19.34,42.05,15.66,47.47,7.75,337.0,218.43,399.12,almond
50.49,56.31,26.22,12.46,35.27,7.33,384.36,124.67,621.85,chickpea
145.89,50.74,114.8,25.47,85.47,6.57,1634.38,353.53,71.44,sugarcane
73.37,30.15,42.41,18.37,50.88,5.79,534.07,101.72,152.27,wheat
106.62,28.38,63.14,26.37,86.26,6.12,1413.11,135.06,0.0,rice
124.07,53.04,85.0,20.93,60.8,5.61,633.08,171.98,62.1,maize
78.32,50.65,105.98,16.99,59.52,7.59,313.48,187.64,176.85,grape
64.02,40.74,68.58,26.17,55.31,6.37,841.79,180.56,304.57,mango
45.82,12.65,50.42,17.76,61.08,7.24,584.5,216.5,447.98,fig
25.82,60.41,51.02,11.56,34.39,6.79,291.14,87.83,519.05,lentil
110.66,55.28,197.04,31.92,72.77,6.93,1609.99,275.63,0.0,banana
10.33,8.39,37.63,15.73,47.72,6.97,542.06,175.26,318.25,fig
33.92,58.8,55.71,19.8,45.48,7.04,553.14,76.68,337.51,lentil
60.18,44.63,73.55,26.99,57.45,5.18,967.47,155.4,109.72,mango
30.71,27.19,69.91,13.13,38.13,7.62,525.96,184.77,461.21,almond
31.55,18.36,50.28,25.4,48.31,6.36,441.54,198.29,192.79,fig
67.08,28.53,97.79,15.33,52.81,6.73,350.14,197.86,341.85,grape
84.82,42.74,64.07,14.74,52.83,6.82,412.54,100.43,605.41,wheat
104.34,73.78,185.29,29.71,88.98,6.2,1761.92,294.62,118.57,banana
116.78,67.47,62.31,32.59,50.65,6.58,652.53,211.54,70.62,cotton
111.74,38.53,26.09,27.61,53.22,6.48,998.35,216.96,247.54,cotton
67.76,49.6,99.21,22.98,66.26,6.14,883.38,316.75,55.0,citrus
128.96,48.89,87.44,30.05,66.16,5.9,790.55,133.48,23.23,maize
17.25,62.18,59.96,8.82,51.42,7.3,569.74,121.93,445.95,lentil
21.88,0.07,79.15,19.75,47.35,7.83,319.22,199.43,545.52,fig
69.23,55.97,45.42,14.66,41.48,8.0,586.76,118.36,441.43,wheat
132.38,61.11,148.61,28.39,78.66,5.96,1580.18,365.0,118.65,sugarcane
138.18,52.78,198.03,22.24,77.78,5.98,672.99,116.99,131.92,tomato
87.66,35.19,74.98,23.72,69.43,6.93,774.93,303.64,53.51,citrus
63.69,33.2,109.59,8.52,51.24,7.25,623.19,220.47,110.26,grape
108.51,46.47,67.07,23.13,73.83,6.03,1275.7,197.98,18.34,rice
23.36,20.75,96.36,19.14,44.77,7.15,344.46,191.89,639.29,almond
45.68,10.7,33.68,15.62,54.0,7.52,334.13,210.26,442.63,fig
45.79,30.16,59.9,23.5,72.77,6.71,479.11,252.36,583.61,fig
50.32,41.23,41.17,18.89,38.35,7.52,478.51,160.36,558.97,chickpea
120.79,60.12,165.71,26.64,51.86,6.55,803.4,177.34,0.0,tomato
54.87,12.11,79.99,21.87,49.18,7.22,353.62,235.66,598.53,almond
22.19,3.84,14.39,23.43,51.65,7.19,482.79,168.35,424.2,fig
130.55,47.27,42.27,30.11,62.67,5.9,710.1,161.29,188.76,maize
98.56,10.93,103.96,29.48,81.34,6.51,618.96,252.01,21.56,citrus
120.88,45.37,163.93,21.96,65.75,5.89,812.53,118.79,0.0,tomato
1.72,50.9,57.62,16.97,54.56,7.16,467.44,177.65,578.4,lentil
14.74,33.46,41.13,19.48,46.41,7.42,428.63,139.15,665.85,chickpea
123.66,38.71,120.18,27.99,83.06,6.2,1554.26,362.87,0.0,sugarcane
122.37,43.03,142.56,26.3,63.27,6.01,660.1,127.22,176.45,tomato
74.61,32.14,108.47,27.18,52.79,5.61,786.15,146.7,168.33,mango
111.07,82.83,180.94,28.56,93.28,5.96,1720.15,286.48,42.88,banana
118.68,78.7,182.1,28.45,79.43,5.94,1529.75,296.86,24.22,banana
22.8,13.5,57.53,23.44,55.21,8.5,439.32,252.95,368.92,fig
41.48,36.44,82.15,27.0,46.35,4.88,882.44,155.16,294.62,mango
118.42,55.53,51.15,23.83,67.7,5.27,687.8,63.48,226.37,maize
121.77,47.78,57.89,24.25,44.86,6.65,633.53,192.85,254.55,cotton
82.7,37.11,42.44,18.5,52.69,5.89,385.29,133.91,456.98,wheat
62.17,3.97,65.7,17.62,52.89,6.58,493.19,199.8,312.9,grape
136.92,65.39,95.75,26.47,97.84,5.52,1593.54,318.4,0.0,sugarcane
27.9,6.62,47.35,22.11,54.84,7.23,657.08,152.51,425.57,fig
55.18,11.32,86.03,19.14,58.17,7.84,475.3,208.04,499.05,olive
98.17,79.54,193.31,29.12,78.2,6.34,1781.54,321.43,10.35,banana
30.32,3.73,61.35,22.42,44.09,7.9,393.64,182.78,557.48,fig
66.11,34.01,91.06,29.18,51.46,4.68,1005.32,112.61,230.86,mango
102.2,60.2,206.45,30.1,80.65,6.34,1619.98,333.71,83.25,banana
21.82,45.78,106.01,14.13,60.93,7.24,432.42,132.36,467.97,lentil
71.43,39.98,52.48,13.2,51.56,7.98,574.66,115.35,477.39,wheat
75.36,33.91,84.32,16.61,36.91,7.24,612.25,130.62,332.59,wheat
49.84,28.34,59.25,17.95,49.89,7.31,550.92,237.98,451.98,fig
50.32,51.03,139.07,34.43,46.56,5.82,1086.6,184.67,95.73,mango
116.34,47.21,35.44,23.23,81.76,5.96,1467.0,185.46,89.68,rice
104.04,28.98,79.73,22.08,54.72,7.54,759.72,269.36,73.44,citrus
142.53,51.25,172.08,28.97,57.33,5.3,756.12,140.28,12.33,tomato
149.08,56.81,144.37,23.49,64.71,6.32,582.26,134.73,0.0,tomato
91.47,61.59,23.1,26.59,89.83,6.38,1420.37,177.38,201.46,rice
59.28,36.96,31.97,17.68,33.18,7.58,397.15,246.01,506.49,almond
47.4,26.22,121.8,30.33,48.23,5.38,1174.59,159.67,273.91,mango
124.18,47.75,55.4,32.32,70.37,6.38,1557.52,88.2,123.12,rice
84.73,42.54,53.16,21.03,55.91,5.98,755.38,275.01,104.91,citrus
77.38,46.66,79.23,23.43,52.24,6.2,685.67,125.92,121.8,maize
114.54,75.56,214.47,26.15,83.17,5.95,1395.82,308.21,169.3,banana
98.44,54.33,52.91,25.91,81.09,6.0,1319.03,134.88,0.0,rice
54.79,27.09,117.75,14.1,55.52,6.32,698.05,198.52,223.37,grape
142.2,69.01,118.02,29.48,65.48,6.66,804.7,150.93,203.11,cotton
128.13,35.35,192.42,21.5,79.88,5.5,880.97,142.51,93.4,tomato
108.78,81.72,180.04,30.73,85.01,5.74,1666.24,291.09,251.24,banana
2.13,10.03,24.42,21.95,35.57,6.56,550.01,228.76,269.19,fig
50.97,42.73,42.18,18.43,48.08,7.1,558.35,102.86,680.08,chickpea
80.61,31.1,135.77,19.32,55.57,5.95,843.92,163.33,215.58,grape
27.04,22.27,43.14,14.7,55.83,7.32,360.77,220.2,446.91,olive
152.24,60.75,85.51,31.43,43.58,7.05,666.3,202.64,126.77,cotton
96.24,55.81,42.94,26.41,87.76,5.8,1378.12,145.91,181.39,rice
100.18,58.93,219.67,20.48,93.14,6.07,1636.2,303.37,96.06,banana
15.94,50.84,30.47,12.52,49.95,6.79,704.09,134.82,346.63,lentil
2.71,23.75,67.91,13.79,49.0,7.46,279.55,227.04,421.65,almond
105.75,69.92,96.24,24.31,71.97,6.72,715.23,167.88,7.47,cotton
94.22,52.52,68.01,15.54,61.35,7.34,533.31,162.8,453.65,wheat
140.7,66.8,104.34,31.63,82.34,5.76,1607.75,266.69,58.84,sugarcane
78.31,65.32,239.75,26.92,82.76,5.8,1638.31,292.38,0.0,banana
84.15,38.71,108.26,25.98,84.99,5.97,613.53,294.6,21.07,citrus
165.22,51.15,169.62,15.12,71.73,6.27,544.89,126.64,149.52,tomato
110.1,81.66,224.66,31.04,77.88,6.29,1485.81,260.97,11.1,banana
69.29,47.53,32.07,11.01,45.96,6.48,493.72,128.97,333.26,wheat
39.98,11.56,77.39,17.35,53.6,7.25,523.75,298.66,322.18,olive
117.34,57.37,189.41,22.35,63.61,5.34,752.19,160.38,0.0,tomato
123.71,59.82,88.8,28.96,84.21,6.09,1563.77,352.41,24.37,sugarcane
120.7,45.95,64.72,27.13,72.0,5.77,1199.94,155.52,91.41,rice
120.55,50.51,65.75,24.42,82.48,5.93,1515.41,155.36,39.6,rice
121.83,50.55,140.09,23.98,69.41,5.84,540.6,149.31,76.46,tomato
35.02,37.93,73.19,20.77,52.39,6.01,244.4,205.14,611.37,almond
76.98,26.39,78.91,21.21,60.12,6.07,975.87,299.7,112.44,citrus
118.59,58.92,102.24,20.7,63.74,6.35,796.56,133.25,232.86,maize
32.16,36.37,39.4,10.6,43.61,7.2,391.69,74.88,785.8,chickpea
41.38,18.78,1.5,16.24,42.48,7.6,319.83,214.15,449.07,almond
16.28,3.86,81.24,24.82,55.95,7.19,496.76,210.3,360.46,olive
80.65,54.82,80.24,26.81,100.0,6.06,1333.47,63.38,69.39,rice
139.01,39.87,70.79,19.32,56.32,6.19,1059.57,130.88,284.78,maize
22.74,45.53,30.76,15.69,37.26,7.21,483.32,91.58,672.92,chickpea
121.52,46.51,48.54,28.17,61.66,6.41,735.53,102.84,122.19,maize
54.33,37.76,41.82,12.44,45.74,6.43,467.72,107.85,319.16,wheat
26.23,49.48,79.82,13.48,59.63,8.08,386.93,94.8,472.1,lentil
141.62,42.84,76.79,31.31,80.55,6.25,1603.17,365.0,111.48,sugarcane
67.23,34.98,96.77,29.98,50.92,5.95,871.79,173.89,227.33,mango
66.76,10.03,17.89,15.16,26.84,6.59,473.12,269.02,563.03,almond
46.89,36.33,67.72,15.24,52.17,6.88,524.05,149.94,428.26,wheat
19.13,51.08,50.23,17.22,40.33,7.61,374.88,57.98,448.6,chickpea
27.88,17.74,61.88,18.58,43.93,7.47,424.3,221.71,368.65,fig
35.83,14.4,50.17,21.39,48.6,6.96,448.4,186.95,519.58,fig
138.35,54.51,96.95,26.63,85.8,6.13,1600.98,328.62,0.0,sugarcane
72.48,33.24,98.91,30.41,53.37,5.74,1134.67,172.84,127.15,mango
46.44,23.01,95.9,21.71,44.4,5.83,657.63,176.77,232.68,grape
14.63,15.75,77.7,18.06,52.3,7.66,576.13,181.77,511.13,fig
40.52,13.18,18.1,23.5,53.89,7.17,291.83,204.32,323.41,fig
61.13,52.64,115.86,34.66,54.86,5.88,1281.01,167.57,172.56,mango
70.23,49.76,78.4,12.9,42.51,6.3,333.19,160.85,221.62,wheat
43.9,19.26,62.34,21.62,50.47,8.46,542.48,248.55,376.54,olive
82.48,42.06,62.66,15.33,44.96,6.2,494.41,139.72,400.24,wheat
115.19,49.38,126.78,19.39,63.63,5.44,729.49,101.54,157.0,tomato
17.7,62.47,27.95,15.26,34.78,6.95,414.08,110.89,699.6,chickpea
73.49,40.4,119.86,29.49,53.31,5.68,801.29,174.54,245.68,mango
104.63,54.18,29.9,22.68,48.22,6.87,1056.1,141.19,36.44,maize
105.36,35.04,41.25,16.88,62.29,6.59,892.33,286.28,182.97,citrus
87.73,49.93,23.16,15.06,63.66,6.83,617.51,156.71,444.98,wheat
116.66,60.28,71.31,27.96,60.16,5.72,1017.66,205.02,143.09,cotton
106.78,39.44,38.89,34.51,60.81,4.97,1487.84,105.31,139.91,rice
59.78,30.21,111.18,24.33,56.81,5.81,1069.55,81.51,189.67,mango
82.11,49.29,97.8,28.13,58.82,6.1,1029.58,120.44,318.37,mango
38.44,46.56,71.1,10.72,54.46,6.96,522.83,115.99,298.91,lentil
104.33,39.48,40.55,26.29,91.48,5.34,1352.82,77.84,75.91,rice
90.98,42.95,32.83,17.03,65.97,6.98,540.17,115.84,504.26,wheat
67.96,41.6,32.19,16.54,44.99,7.92,429.08,137.77,403.63,wheat
17.74,51.39,19.73,18.59,47.81,6.48,597.55,102.88,456.88,chickpea
70.88,41.0,66.04,15.72,63.53,6.49,491.13,53.86,427.39,wheat
90.28,79.74,210.3,31.24,83.64,6.08,1421.64,313.36,3.81,banana
125.72,54.6,108.36,26.47,76.58,5.98,1529.33,303.49,41.73,sugarcane
106.9,62.61,198.26,26.23,66.41,6.2,496.53,142.07,0.0,tomato
86.53,50.89,76.84,24.37,60.46,6.13,973.57,281.26,248.22,citrus
71.28,48.4,133.43,31.32,59.62,5.85,1085.89,142.64,244.09,mango
150.37,42.37,129.65,32.34,61.76,5.46,1445.11,323.5,0.0,sugarcane
98.36,44.73,99.3,27.89,71.61,7.11,650.49,308.07,190.87,citrus
106.99,44.56,81.98,21.72,55.09,6.78,607.96,81.46,395.39,maize
84.35,52.57,91.08,18.22,77.19,6.83,915.3,325.51,50.86,citrus
63.92,37.41,88.35,31.87,56.0,5.48,839.54,148.9,385.16,mango
103.57,30.1,102.18,31.76,53.2,5.76,866.5,154.86,430.99,mango
125.01,49.54,61.98,26.89,45.69,7.36,735.78,110.66,119.98,maize
79.44,34.74,41.95,13.99,46.85,7.13,303.56,137.38,442.27,wheat
134.86,59.22,92.15,23.42,65.66,6.23,813.97,121.9,415.2,maize
146.25,61.69,140.93,29.04,73.97,6.29,856.63,77.83,241.86,tomato
53.11,30.55,86.37,19.01,42.89,7.58,466.42,231.53,529.58,almond
110.92,52.64,42.0,27.54,54.67,6.98,915.11,141.78,0.0,cotton
124.74,30.65,45.78,25.78,50.33,6.55,590.83,223.68,161.21,cotton
16.23,8.94,65.27,25.55,58.32,7.24,304.2,221.89,286.15,olive
122.16,30.57,157.06,22.45,72.39,6.05,841.81,143.96,210.16,tomato
115.51,52.12,88.56,25.6,55.03,5.59,630.61,117.7,79.47,maize
65.64,28.72,18.05,12.48,57.72,7.06,455.82,130.31,254.7,wheat
4.44,42.27,42.72,26.0,52.33,7.35,358.27,114.45,558.11,chickpea
38.92,29.94,31.38,26.81,48.04,7.18,342.66,184.16,411.76,fig
107.4,51.32,30.22,27.74,87.98,6.26,1453.13,180.7,39.04,rice
37.75,36.39,111.03,16.39,59.0,6.62,488.39,229.89,500.31,grape
152.21,58.7,122.38,24.52,77.6,6.3,1671.61,326.11,127.36,sugarcane
37.83,28.53,97.96,15.16,56.86,5.97,674.66,260.23,210.36,grape
75.31,72.85,226.7,25.24,79.28,5.78,1510.93,266.08,30.49,banana
130.19,67.63,172.03,20.9,65.96,5.85,825.91,165.88,53.08,tomato
86.7,91.37,201.78,23.86,80.57,6.16,1899.77,330.08,0.0,banana
160.36,33.52,100.24,28.41,84.52,5.14,1369.19,365.0,84.37,sugarcane
49.82,9.27,104.47,20.1,52.72,7.3,389.33,260.95,591.9,almond
26.28,3.31,34.74,24.22,50.8,6.74,267.89,263.13,493.25,fig
42.87,11.02,37.42,23.16,41.72,7.3,468.13,284.51,476.17,fig
115.77,44.32,56.46,25.42,60.09,6.23,556.48,112.63,18.51,cotton
26.41,24.46,62.62,17.48,43.42,7.55,220.36,174.63,459.45,fig
87.04,40.78,56.67,21.59,63.67,7.72,522.7,114.02,389.37,wheat
135.38,37.16,52.26,30.09,45.22,6.15,646.53,155.66,242.2,cotton
40.51,44.66,59.6,17.5,33.31,8.11,242.47,141.05,470.24,chickpea
62.97,43.57,115.39,18.95,59.99,5.98,788.01,202.47,308.05,grape
